,Artist,Track,Album,Album_type,Danceability,Energy,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_min,Views,Likes,Comments,Licensed,Stream,most_playedon,duration_ms,explicit,year,popularity,key,genre
1363,Jessie J,Price Tag,Who You Are (Platinum Edition),album,0.638,0.831,-3.944,0.182,0.0281,3.06e-06,0.277,0.685,175.038,3.71755,825677974,4108800,203128,True,410953652,Youtube,223053,False,2011,73,5,"hip hop, pop"
1364,Jessie J,Do It Like A Dude,Who You Are (Platinum Edition),album,0.663,0.844,-3.672,0.0487,0.0506,0.0,0.364,0.378,140.041,3.254,145491559,794601,69185,True,105904979,Youtube,195240,True,2011,57,2,"hip hop, pop"
1365,Foster The People,Pumped Up Kicks,Torches,album,0.733,0.71,-5.849,0.0292,0.145,0.115,0.0956,0.965,127.975,3.993333333333333,921285433,8408195,492919,True,1393746825,Spotify,239600,False,2011,82,5,"rock, pop"
1366,Purple Disco Machine,In The Dark,Exotica (Deluxe),album,0.695,0.769,-5.532,0.05,0.0462,4.5e-05,0.0814,0.761,115.936,3.0927333333333333,37719365,240125,4686,True,116557027,Spotify,226226,False,2012,52,8,"pop, Dance/Electronic"
1367,Christina Perri,A Thousand Years,A Thousand Years,single,0.421,0.407,-7.445,0.0267,0.309,0.000961,0.11,0.161,139.028,4.752,2213836289,13816579,482413,True,1261326446,Youtube,285120,False,2011,70,10,pop
1368,Christina Perri,Jar of Hearts,lovestrong.,album,0.349,0.348,-6.142,0.0316,0.726,0.0,0.12,0.0886,74.541,4.109783333333334,419136930,2309981,123317,True,444175576,Spotify,246587,False,2011,72,3,pop
1369,Christina Perri,human,head or heart,album,0.439,0.489,-6.286,0.0368,0.132,0.000643,0.114,0.253,143.808,4.17845,260602190,2884388,84162,True,387872461,Spotify,250706,False,2013,59,8,pop
1370,Daya,"Sit Still, Look Pretty","Sit Still, Look Pretty",album,0.846,0.734,-3.601,0.108,0.286,8.27e-05,0.425,0.717,90.98,3.462683333333333,52789030,780455,20669,True,479802555,Spotify,202221,False,2016,1,2,"rock, pop, Dance/Electronic"
1371,Super Simple Songs,Sweet Dreams,Twinkle Twinkle Little Star & More Kids Songs,album,0.288,0.0938,-15.741,0.0365,0.742,0.0557,0.127,0.119,119.256,2.9084166666666667,258075590,327277,0,True,23975769,Youtube,208066,False,2008,48,1,"pop, R&B"
1372,Alan Walker,Sweet Dreams,Sweet Dreams,single,0.766,0.817,-4.253,0.035,0.0239,2.49e-06,0.159,0.43,125.033,2.31365,23855085,443446,25180,True,169604233,Spotify,208066,False,2008,48,1,"pop, R&B"
1373,Imanbek,Sweet Dreams,Sweet Dreams,single,0.766,0.817,-4.253,0.035,0.0239,2.49e-06,0.159,0.43,125.033,2.31365,23855085,443446,25180,True,169604233,Spotify,208066,False,2008,48,1,"pop, R&B"
1374,Rudimental,Waiting All Night (feat. Ella Eyre),Home (Deluxe Edition),album,0.544,0.728,-5.358,0.05,0.00264,0.00959,0.427,0.281,174.983,4.87645,246931407,1117330,32558,True,204374871,Youtube,292586,False,2013,66,6,"pop, Dance/Electronic"
1375,Rudimental,Feel the Love (feat. John Newman),Home (Deluxe Edition),album,0.389,0.706,-6.849,0.0593,0.0026,0.000182,0.686,0.238,179.911,4.08645,106973439,511062,21790,True,171205162,Spotify,245186,False,2013,64,1,"pop, Dance/Electronic"
1376,John Newman,Feel the Love (feat. John Newman),Home (Deluxe Edition),album,0.389,0.706,-6.849,0.0593,0.0026,0.000182,0.686,0.238,179.911,4.08645,106973461,511062,21790,True,171205162,Spotify,245186,False,2013,64,1,"pop, Dance/Electronic"
1377,Brett Eldredge,Hideaway,Songs About You,album,0.69,0.373,-5.566,0.0286,0.618,0.0,0.128,0.473,124.082,2.7226666666666666,314968,3942,352,True,4655724,Spotify,251986,False,2014,64,7,"pop, Dance/Electronic"
