artist,Track,duration_ms,explicit,year,popularity,key,genre
Kylie Minogue,Love at First Sight,238266,FALSE,2001,55,3,"pop, Dance/Electronic"
N.O.R.E.,Nothin',264653,TRUE,2002,58,3,"hip hop, pop"
Gareth Gates,Unchained Melody,233666,FALSE,2003,35,10,pop
Diddy,I Need a Girl (Pt. 1) [feat. Usher & Loon],268800,FALSE,2005,63,6,"hip hop, pop"
Big Brovaz,Nu Flow,201480,FALSE,2001,45,7,pop
No Doubt,Hey Baby,207040,FALSE,2001,24,11,"rock, pop"
Ashanti,Baby,265706,TRUE,2002,55,4,"hip hop, pop, R&B"
Sophie Ellis-Bextor,Murder On The Dancefloor,230013,FALSE,2002,62,1,"pop, Dance/Electronic"
Justin Timberlake,Like I Love You,283626,FALSE,2002,62,6,pop
Mary J. Blige,Rainy Dayz,276373,FALSE,2001,32,6,"pop, R&B"
A1,Caught in the Middle,206466,FALSE,2001,53,5,pop
Eminem,Cleanin' Out My Closet,297840,TRUE,2002,71,9,hip hop
Ashanti,Happy,262226,TRUE,2002,61,2,"hip hop, pop, R&B"
Delta Goodrem,Born to Try,251280,FALSE,2003,54,8,pop
P!nk,Get the Party Started,192533,FALSE,2001,68,11,pop
Alicia Keys,A Woman's Worth,303333,FALSE,2001,52,4,"pop, R&B"
Daniel Bedingfield,Gotta Get Thru This - D'N'D Radio Edit,161240,FALSE,2002,56,7,pop
Coldplay,Clocks,307879,FALSE,2002,79,5,"rock, pop"
Missy Elliott,Work It,263226,TRUE,2002,70,1,"hip hop, pop, R&B"
Ronan Keating,If Tomorrow Never Comes,214306,FALSE,2002,60,10,"pop, rock"
Big Tymers,Still Fly,335613,TRUE,2002,64,11,"hip hop, pop"
Creed,My Sacrifice,294600,FALSE,2001,69,2,"pop, rock, metal"
Ja Rule,Always On Time,245133,TRUE,2001,73,5,"hip hop, pop, R&B"
Ashanti,Foolish,227386,TRUE,2002,70,0,"hip hop, pop, R&B"
Avril Lavigne,Sk8er Boi,204000,FALSE,2002,75,0,pop
DJ Sammy,Heaven,233600,FALSE,2002,63,8,pop
Britney Spears,"I'm Not a Girl, Not Yet a Woman",231066,FALSE,2001,58,3,pop
Cam’ron,Oh Boy,204706,TRUE,2002,67,6,"hip hop, pop"
Red Hot Chili Peppers,By the Way,216933,FALSE,2002,73,0,rock
Elvis Presley,A Little Less Conversation - JXL Radio Edit Remix,211506,FALSE,2002,60,4,"rock, easy listening"
Atomic Kitten,The Tide Is High - Radio Mix,206093,FALSE,2002,65,7,pop
*NSYNC,Girlfriend,253600,FALSE,2001,50,0,pop
Robbie Williams,Somethin' Stupid,170493,FALSE,2001,64,0,"pop, rock"
Alanis Morissette,Hands Clean,269400,FALSE,2002,57,7,"pop, Folk/Acoustic"
Usher,U Don't Have to Call,269400,TRUE,2001,59,1,"hip hop, pop, R&B"
Creed,One Last Breath - Radio Version,242000,FALSE,2015,47,2,"pop, rock, metal"
The Goo Goo Dolls,Here Is Gone,238173,FALSE,2002,56,1,"pop, rock"
Puddle Of Mudd,She Hates Me,216760,TRUE,2001,70,4,"rock, metal"
Ludacris,Rollout (My Business),296586,TRUE,2001,60,7,"hip hop, pop"
Blazin' Squad,Crossroads - Radio Edit,188693,FALSE,2012,40,4,set()
Default,Wasting My Time,268693,FALSE,2001,40,2,"rock, pop, metal"
Michelle Branch,All You Wanted,217680,FALSE,2001,60,8,"pop, Folk/Acoustic"
Daniel Bedingfield,If You're Not The One,257026,FALSE,2002,58,10,pop
Enrique Iglesias,Escape,208626,FALSE,2001,56,11,"pop, latin"
Puddle Of Mudd,Blurry,303920,FALSE,2001,64,3,"rock, metal"
Coldplay,In My Place,226680,FALSE,2002,72,9,"rock, pop"
Outkast,The Whole World (feat. Killer Mike),295346,TRUE,2001,51,2,"hip hop, pop"
P!nk,Don't Let Me Get Me - Radio Edit,210693,FALSE,2001,60,0,pop
50 Cent,In Da Club,193466,TRUE,2003,81,6,"hip hop, pop"
Sean Paul,Get Busy,211666,FALSE,2002,74,10,"hip hop, pop"
Eminem,"Lose Yourself - From ""8 Mile"" Soundtrack",322226,TRUE,2004,77,2,hip hop
Beyoncé,Crazy In Love (feat. Jay-Z),236133,FALSE,2003,76,2,"pop, R&B"
Counting Crows,Big Yellow Taxi,225426,FALSE,2003,50,8,"rock, pop"
Black Eyed Peas,Where Is The Love?,272533,FALSE,2003,68,5,"hip hop, pop"
Jennifer Lopez,Jenny from the Block (feat. Jadakiss & Styles P.) - Track Masters Remix,187840,FALSE,2002,70,6,"hip hop, pop, R&B"
Black Eyed Peas,Shut Up,296186,FALSE,2003,56,2,"hip hop, pop"
t.A.T.u.,All The Things She Said,214440,TRUE,2020,39,5,pop
Benny Benassi,Satisfaction (Isak Original Extended) - Benny Benassi Presents The Biz,285570,FALSE,2003,66,11,"pop, Dance/Electronic"
Busta Rhymes,I Know What You Want (feat. Flipmode Squad),324306,TRUE,2002,68,6,"hip hop, pop"
Panjabi MC,Mundian to Bach Ke,244666,FALSE,2003,61,8,"World/Traditional, hip hop"
Mis-Teeq,Scandalous - U.S. Radio Edit,238840,FALSE,2004,59,0,"pop, Dance/Electronic"
JAY-Z,03' Bonnie & Clyde,205560,TRUE,2002,71,9,hip hop
50 Cent,P.I.M.P.,249480,TRUE,2003,76,10,"hip hop, pop"
Jamelia,Superstar,215480,FALSE,2003,69,1,pop
Linkin Park,Faint,162600,FALSE,2003,72,4,"rock, metal"
DMX,X Gon' Give It To Ya,217586,TRUE,2007,70,10,"hip hop, pop"
Evanescence,Bring Me To Life,235893,FALSE,2003,79,4,metal
Sugababes,Hole In The Head,218173,FALSE,2003,57,6,"pop, R&B"
Craig David,Rise & Fall (feat. Sting),287226,FALSE,2002,59,6,"hip hop, pop, R&B"
Three Days Grace,I Hate Everything About You,231480,FALSE,2003,72,6,"rock, metal"
Lil Jon & The East Side Boyz,Get Low,324600,FALSE,2002,47,1,"hip hop, pop"
B2K,"Bump, Bump, Bump (feat. P. Diddy)",282773,FALSE,2003,62,1,"hip hop, pop, R&B"
Baby Bash,Suga Suga,239026,FALSE,2003,73,5,"hip hop, pop, R&B, latin"
Aaliyah,Miss You - Main,245240,FALSE,2002,36,10,"hip hop, pop, R&B"
Britney Spears,Me Against the Music (feat. Madonna) - LP Version / Video Mix,223773,FALSE,2003,59,6,pop
Blue,Sorry Seems To Be The Hardest Word,210066,FALSE,2004,57,7,pop
Delta Goodrem,Lost Without You,248546,FALSE,2003,54,7,pop
Justin Timberlake,Rock Your Body,267266,FALSE,2002,76,4,pop
The White Stripes,Seven Nation Army,231920,FALSE,2003,3,4,"rock, blues"
Youngbloodz,Damn! (feat. Lil' Jon) - Club Mix,298600,TRUE,2003,54,6,"hip hop, pop"
Beyoncé,Baby Boy (feat. Sean Paul),244826,FALSE,2003,63,1,"pop, R&B"
Lil' Kim,Magic Stick,359973,TRUE,2019,47,2,"hip hop, pop, R&B"
Christina Aguilera,Can't Hold Us Down (feat. Lil' Kim),255266,FALSE,2002,61,8,pop
Nickelback,Someday,207466,FALSE,2003,68,11,"rock, metal"
Blue,U Make Me Wanna - Radio Edit,222400,FALSE,2003,48,7,pop
